uniqueID,genus,species,det_by,sex,date_determined,taxonomy_note,,,,,,,
290,Apis,mellifera,SL + CA,F,15i2021,,,,,,,,
291,Peponapis,pruinosa,SL + CA,M,15i2021,,,,,,,,
292,Peponapis,pruinosa,SL + CA,F,15i2021,,,,,,,,
293,Bombus,bimaculatus,SL,F,21i2021,,,,,,,,
294,Peponapis,pruinosa,SL + CA,F,15i2021,,,,,,,,
295,Apis,mellifera,SL + CA,F,15i2021,,,,,,,,
296,Apis,mellifera,SL + CA,F,15i2021,,,,,,,,
297,Apis,mellifera,SL + CA,F,15i2021,,,,,,,,
298,Peponapis,pruinosa,SL + CA,M,15i2021,,,,,,,,
299,Lasioglossum,,,,21i2021,,,,,,,,
300,Bombus,impatiens,SL,F,19i2021,,,,,,,,
301,Bombus,impatiens,SL,F,19i2021,,,,,,,,
302,Bombus,impatiens,SL,F,19i2021,,,,,,,,
303,Bombus,impatiens,SL,F,19i2021,,,,,,,,
304,Bombus,impatiens,SL,F,19i2021,,,,,,,,
305,Bombus,impatiens,SL,F,19i2021,,,,,,,,
306,Bombus,impatiens,SL,F,19i2021,,,,,,,,
307,Bombus,impatiens,SL,F,19i2021,,,,,,,,
308,Bombus,impatiens,SL,F,19i2021,,,,,,,,
309,Augochlora,pura,CA + SL,F,15i2021,,,,,,,,
310,Bombus,vagans,SL,F,20i2021,,,,,,,,
311,Bombus,impatiens,SL,F,19i2021,,,,,,,,
312,Bombus,impatiens,SL,F,19i2021,,,,,,,,
313,Bombus,impatiens,SL,F,19i2021,,,,,,,,
314,Bombus,impatiens,SL,F,19i2021,,,,,,,,
315,Apis,mellifera,SL + CA,F,15i2021,,,,,,,,
316,Bombus,impatiens,SL,F,19i2021,,,,,,,,
317,Bombus,impatiens,SL,F,19i2021,,,,,,,,
318,Bombus,impatiens,SL,F,19i2021,,,,,,,,
319,Bombus,impatiens,SL,F,19i2021,,,,,,,,
320,Bombus,impatiens,SL,F,19i2021,,,,,,,,
321,Bombus,impatiens,SL,F,19i2021,,,,,,,,
322,Bombus,griseocollis,SL,M,19i2021,,,,,,,,
323,Bombus,impatiens,SL,F,19i2021,,,,,,,,
324,Dufourea,novaeangliae,CA,F,21i2021,,,,,,,,
325,Dufourea,novaeangliae,CA,F,21i2021,,,,,,,,
326,Dufourea,novaeangliae,CA,F,21i2021,,,,,,,,
327,Dufourea,novaeangliae,CA,F,21i2021,,,,,,,,
328,Dufourea,novaeangliae,CA,F,21i2021,,,,,,,,
329,Dufourea,novaeangliae,CA,M,21i2021,,,,,,,,
330,Dufourea,novaeangliae,CA,F,21i2021,,,,,,,,
331,Dufourea,novaeangliae,CA,M,21i2021,,,,,,,,
332,Dufourea,novaeangliae,CA,F,21i2021,,,,,,,,
333,Dufourea,novaeangliae,CA,M,21i2021,,,,,,,,
334,Dufourea,novaeangliae,CA,F,21i2021,,,,,,,,
335,Dufourea,novaeangliae,CA,F,21i2021,,,,,,,,
336,Dufourea,novaeangliae,CA,F,21i2021,,,,,,,,
337,Dufourea,novaeangliae,CA,M,21i2021,,,,,,,,
338,Dufourea,novaeangliae,CA,F,21i2021,,,,,,,,
339,Bombus,impatiens,SL,F,19i2021,,,,,,,,
340,Bombus,impatiens,SL,F,20i2021,,,,,,,,
341,Bombus,impatiens,SL,F,19i2021,,,,,,,,
342,Bombus,vagans,SL,F,20i2021,,,,,,,,
343,Bombus,impatiens,SL,F,19i2021,,,,,,,,
344,Bombus,impatiens,SL,F,19i2021,,,,,,,,
345,Bombus,impatiens,SL,F,19i2021,,,,,,,,
346,Bombus,impatiens,SL,F,19i2021,,,,,,,,
347,Bombus,impatiens,SL,F,19i2021,,,,,,,,
348,Bombus,impatiens,SL,F,19i2021,,,,,,,,
349,Apis,mellifera,SL + CA,F,15i2021,,,,,,,,
350,Bombus,impatiens,SL,F,19i2021,,,,,,,,
351,Bombus,impatiens,SL,F,19i2021,,,,,,,,
352,Apis,mellifera,SL + CA,F,15i2021,,,,,,,,
353,Bombus,impatiens,SL,F,19i2021,,,,,,,,
354,Bombus,impatiens,SL,F,19i2021,,,,,,,,
355,Bombus,impatiens,SL,F,19i2021,,,,,,,,
356,Bombus,impatiens,SL,F,19i2021,,,,,,,,
357,Bombus,rufocinctus,SL,F,20i2021,,,,,,,,
358,Bombus,impatiens,SL,F,19i2021,,,,,,,,
359,Bombus,impatiens,SL,F,19i2021,,,,,,,,
360,Bombus,impatiens,SL,F,19i2021,,,,,,,,
361,Apis,mellifera,SL + CA,F,15i2021,,,,,,,,
362,Bombus,vagans,SL,F,20i2021,,,,,,,,
363,Apis,mellifera,SL + CA,F,15i2021,,,,,,,,
364,Bombus,impatiens,SL,F,19i2021,,,,,,,,
365,Halictus,rubicundus,SL,F,15ii2021,,,,,,,,
366,Apis,mellifera,SL + CA,F,15i2021,,,,,,,,
367,Bombus,impatiens,SL,F,19i2021,,,,,,,,
368,Halictus,rubicundus,SL,F,15ii2021,,,,,,,,
369,Bombus,bimaculatus,SL,M,19i2021,,,,,,,,
370,Augochlorella,aurata,SL,F,15i2021,,,,,,,,
371,Augochlorella,aurata,SL,F,15i2021,,,,,,,,
372,Augochlorella,aurata,SL,F,15i2021,,,,,,,,
373,Augochlorella,aurata,SL,F,15i2021,,,,,,,,
374,Augochlorella,aurata,SL,F,15i2021,,,,,,,,
375,Bombus,bimaculatus,SL,M,19i2021,,,,,,,,
376,Bombus,impatiens,SL,F,19i2021,,,,,,,,
377,Bombus,impatiens,SL,F,19i2021,,,,,,,,
378,Megachile,texana,CA,F,9xii2021,,,,,,,,
379,Bombus,impatiens,SL,F,19i2021,,,,,,,,
380,Dufourea,novaeangliae,CA,F,21i2021,,,,,,,,
381,Dufourea,novaeangliae,CA,M,21i2021,,,,,,,,
382,Bombus,impatiens,SL,F,19i2021,,,,,,,,
383,Bombus,impatiens,SL,F,19i2021,,,,,,,,
384,Bombus,impatiens,SL,F,19i2021,,,,,,,,
385,Andrena,spiraeana,JF,f,xi2021,,,,,,,,
386,Andrena,spiraeana,JF,f,xi2021,,,,,,,,
387,Andrena,spiraeana,JF,f,xi2021,,,,,,,,
388,Bombus,impatiens,SL,F,19i2021,,,,,,,,
389,Bombus,impatiens,SL,F,19i2021,,,,,,,,
390,Bombus,rufocinctus,SL,F,20i2021,,,,,,,,
391,Bombus,impatiens,SL,F,19i2021,,,,,,,,
392,Bombus,impatiens,SL,F,19i2021,,,,,,,,
393,Halictus,ligatus,CA + SL,F,15ii2021,,,,,,,,
394,Heriades,leavitti,CA,M,23iii2021,,,,,,,,
395,Heriades,carinata,CA,F,23iii2021,,,,,,,,
396,Lasioglossum,,,,21i2021,,,,,,,,
397,Heriades,carinata,CA,F,23iii2021,,,,,,,,
398,Bombus,impatiens,SL,F,19i2021,,,,,,,,
399,Bombus,impatiens,SL,F,19i2021,,,,,,,,
400,Halictus,confusus,CA + SL,F,15ii2021,,,,,,,,
401,Halictus,confusus,CA + SL,M,15ii2021,,,,,,,,
402,Dufourea,novaeangliae,CA,M,21i2021,,,,,,,,
403,Dufourea,novaeangliae,CA,F,21i2021,,,,,,,,
404,Dufourea,novaeangliae,CA,F,21i2021,,,,,,,,
405,Dufourea,novaeangliae,CA,F,21i2021,,,,,,,,
